centre,person,sim
brevan_howard,alan_hughes,0.0404519917478
centre_for_management_buy_out_research,alan_hughes,0.0430774895171
digital_city_exchange,alan_hughes,0.0475830951431
energy_business_research,alan_hughes,0.0696440909281
enterprise_research_centre,alan_hughes,0.0527046276695
ghandi_centre,alan_hughes,0.0680336051417
global_finance_tech,alan_hughes,0.045003516037
health_mgmt,alan_hughes,0.070133438437
hedge_funds,alan_hughes,0.048280787926
kpmg,alan_hughes,0.0615124685229
risk_mgmt,alan_hughes,0.0471404520791
brevan_howard,anand,0.098869464778
centre_for_management_buy_out_research,anand,0.105286492667
digital_city_exchange,anand,0.0930389816869
energy_business_research,anand,0.0907831556701
enterprise_research_centre,anand,0.085018797556
ghandi_centre,anand,0.127483018959
global_finance_tech,anand,0.0824954474081
health_mgmt,anand,0.102848664133
hedge_funds,anand,0.0762487197264
kpmg,anand,0.119201129903
risk_mgmt,anand,0.069130112982
brevan_howard,a_buraschi,0.0674199862463
centre_for_management_buy_out_research,a_buraschi,0.0666675433002
digital_city_exchange,a_buraschi,0.0623111960207
energy_business_research,a_buraschi,0.0663277056458
enterprise_research_centre,a_buraschi,0.0828215577663
ghandi_centre,a_buraschi,0.0647939096587
global_finance_tech,a_buraschi,0.0723270793452
health_mgmt,a_buraschi,0.0500953131693
hedge_funds,a_buraschi,0.135292317815
kpmg,a_buraschi,0.0533526512699
risk_mgmt,a_buraschi,0.0589255650989
brevan_howard,a_eisingerich,0.0835448987534
centre_for_management_buy_out_research,a_eisingerich,0.103795183761
digital_city_exchange,a_eisingerich,0.103732253129
energy_business_research,a_eisingerich,0.0905627200681
enterprise_research_centre,a_eisingerich,0.0870800688368
ghandi_centre,a_eisingerich,0.0884685011401
global_finance_tech,a_eisingerich,0.0619633962534
health_mgmt,a_eisingerich,0.105342218544
hedge_funds,a_eisingerich,0.0920433188479
kpmg,a_eisingerich,0.127040789162
risk_mgmt,a_eisingerich,0.0649056511348
brevan_howard,a_kirilenko,0.0807247939434
centre_for_management_buy_out_research,a_kirilenko,0.0477578663087
digital_city_exchange,a_kirilenko,0.0527530067763
energy_business_research,a_kirilenko,0.0566213513233
enterprise_research_centre,a_kirilenko,0.0631054742868
ghandi_centre,a_kirilenko,0.0905105619278
global_finance_tech,a_kirilenko,0.0898076807062
health_mgmt,a_kirilenko,0.0593753609204
hedge_funds,a_kirilenko,0.0963477072044
kpmg,a_kirilenko,0.0818349708204
risk_mgmt,a_kirilenko,0.0470360434192
brevan_howard,a_leiponen,0.0364743326208
centre_for_management_buy_out_research,a_leiponen,0.051788885647
digital_city_exchange,a_leiponen,0.0715070533567
energy_business_research,a_leiponen,0.0767506202514
enterprise_research_centre,a_leiponen,0.047522162376
ghandi_centre,a_leiponen,0.102239726489
global_finance_tech,a_leiponen,0.0304337278979
health_mgmt,a_leiponen,0.057488356194
hedge_funds,a_leiponen,0.0435333204107
kpmg,a_leiponen,0.0792341786008
risk_mgmt,a_leiponen,0.0531313927553
brevan_howard,a_michaelides,0.0748545378024
centre_for_management_buy_out_research,a_michaelides,0.0626315641788
digital_city_exchange,a_michaelides,0.0566037735849
energy_business_research,a_michaelides,0.0429577219139
enterprise_research_centre,a_michaelides,0.0585164839671
ghandi_centre,a_michaelides,0.059949064933
global_finance_tech,a_michaelides,0.0713802195121
health_mgmt,a_michaelides,0.0657320590305
hedge_funds,a_michaelides,0.0677423519048
kpmg,a_michaelides,0.0627204351903
risk_mgmt,a_michaelides,0.0560772154092
brevan_howard,a_terwal,0.0976627000478
centre_for_management_buy_out_research,a_terwal,0.104001404028
digital_city_exchange,a_terwal,0.0646195652669
energy_business_research,a_terwal,0.084070396395
enterprise_research_centre,a_terwal,0.0858897501471
ghandi_centre,a_terwal,0.0958140275161
global_finance_tech,a_terwal,0.0713024707316
health_mgmt,a_terwal,0.0692681800518
hedge_funds,a_terwal,0.0605234375225
kpmg,a_terwal,0.10342571996
risk_mgmt,a_terwal,0.053348699972
brevan_howard,a_tsoukalas,0.0393368628824
centre_for_management_buy_out_research,a_tsoukalas,0.0733074724918
digital_city_exchange,a_tsoukalas,0.0578392314041
energy_business_research,a_tsoukalas,0.0338621157703
enterprise_research_centre,a_tsoukalas,0.0307510402676
ghandi_centre,a_tsoukalas,0.0330790707852
global_finance_tech,a_tsoukalas,0.0492332811309
health_mgmt,a_tsoukalas,0.0372000487321
hedge_funds,a_tsoukalas,0.043338318279
kpmg,a_tsoukalas,0.0448625784906
risk_mgmt,a_tsoukalas,0.0171903541043
brevan_howard,a_vernet,0.105228975995
centre_for_management_buy_out_research,a_vernet,0.0996077883262
digital_city_exchange,a_vernet,0.110026069812
energy_business_research,a_vernet,0.140907866312
enterprise_research_centre,a_vernet,0.11882184104
ghandi_centre,a_vernet,0.0917662935482
global_finance_tech,a_vernet,0.0975574935484
health_mgmt,a_vernet,0.138212281058
hedge_funds,a_vernet,0.0901702362554
kpmg,a_vernet,0.144774774203
risk_mgmt,a_vernet,0.0919709009227
brevan_howard,a_wadhwa,0.0750910456202
centre_for_management_buy_out_research,a_wadhwa,0.0971000632797
digital_city_exchange,a_wadhwa,0.0883285152043
energy_business_research,a_wadhwa,0.0800306922099
enterprise_research_centre,a_wadhwa,0.0922450109949
ghandi_centre,a_wadhwa,0.0962215646919
global_finance_tech,a_wadhwa,0.0805564687428
health_mgmt,a_wadhwa,0.0710120317618
hedge_funds,a_wadhwa,0.0768202650406
kpmg,a_wadhwa,0.101368862831
risk_mgmt,a_wadhwa,0.0843815925695
brevan_howard,b_biais,0.0393368628824
centre_for_management_buy_out_research,b_biais,0.0733074724918
digital_city_exchange,b_biais,0.0578392314041
energy_business_research,b_biais,0.0338621157703
enterprise_research_centre,b_biais,0.0307510402676
ghandi_centre,b_biais,0.0330790707852
global_finance_tech,b_biais,0.0492332811309
health_mgmt,b_biais,0.0372000487321
hedge_funds,b_biais,0.043338318279
kpmg,b_biais,0.0448625784906
risk_mgmt,b_biais,0.0171903541043
brevan_howard,b_clarysse,0.105676452866
centre_for_management_buy_out_research,b_clarysse,0.122765761959
digital_city_exchange,b_clarysse,0.0734533617618
energy_business_research,b_clarysse,0.0826989337952
enterprise_research_centre,b_clarysse,0.135181772718
ghandi_centre,b_clarysse,0.118486956289
global_finance_tech,b_clarysse,0.0961910327017
health_mgmt,b_clarysse,0.0681381899201
hedge_funds,b_clarysse,0.0793814702497
kpmg,b_clarysse,0.115825379307
risk_mgmt,b_clarysse,0.0923619990076
brevan_howard,b_cox,0.0688395100443
centre_for_management_buy_out_research,b_cox,0.0680712244567
digital_city_exchange,b_cox,0.104110616527
energy_business_research,b_cox,0.062080545579
enterprise_research_centre,b_cox,0.0691898406022
ghandi_centre,b_cox,0.082697676963
global_finance_tech,b_cox,0.0820554685515
health_mgmt,b_cox,0.106950140105
hedge_funds,b_cox,0.0622988325261
kpmg,b_cox,0.108951976334
risk_mgmt,b_cox,0.0515710623129
brevan_howard,c_donovan,0.0968718959393
centre_for_management_buy_out_research,c_donovan,0.0902643643448
digital_city_exchange,c_donovan,0.0783399482666
energy_business_research,c_donovan,0.076440515467
enterprise_research_centre,c_donovan,0.0662622139955
ghandi_centre,c_donovan,0.0746728656632
global_finance_tech,c_donovan,0.0606215256757
health_mgmt,c_donovan,0.068707294869
hedge_funds,c_donovan,0.0700389213263
kpmg,c_donovan,0.106533952915
risk_mgmt,c_donovan,0.0952500952501
brevan_howard,c_jasmand,0.068621863168
centre_for_management_buy_out_research,c_jasmand,0.0669860578324
digital_city_exchange,c_jasmand,0.0807189090806
energy_business_research,c_jasmand,0.0656348299365
enterprise_research_centre,c_jasmand,0.062584874425
ghandi_centre,c_jasmand,0.0897638789093
global_finance_tech,c_jasmand,0.0572572261489
health_mgmt,c_jasmand,0.0540785509842
hedge_funds,c_jasmand,0.0535516082459
kpmg,c_jasmand,0.0894414768659
